age,annual_income,monthly_inhand_salary,credit_history_age,total_emi_per_month,num_bank_accounts,num_credit_card,interest_rate,num_of_loan,delay_from_due_date,num_of_delayed_payment,changed_credit_limit,num_credit_inquiries,outstanding_debt,credit_utilization_ratio,amount_invested_monthly,monthly_balance,loan_Auto Loan,loan_Credit-Builder Loan,loan_Debt Consolidation Loan,loan_Home Equity Loan,loan_Mortgage Loan,loan_No Loan,loan_Not Specified,loan_Payday Loan,loan_Personal Loan,loan_Student Loan,occupation_Accountant,occupation_Architect,occupation_Developer,occupation_Doctor,occupation_Engineer,occupation_Entrepreneur,occupation_Journalist,occupation_Lawyer,occupation_Manager,occupation_Mechanic,occupation_Media_Manager,occupation_Musician,occupation_Scientist,occupation_Teacher,occupation_Writer,credit_mix_Bad,credit_mix_Good,credit_mix_Standard,payment_of_min_amount_No,payment_of_min_amount_Yes,payment_behaviour_High_spent_Large_value_payments,payment_behaviour_High_spent_Medium_value_payments,payment_behaviour_High_spent_Small_value_payments,payment_behaviour_Low_spent_Large_value_payments,payment_behaviour_Low_spent_Medium_value_payments,payment_behaviour_Low_spent_Small_value_payments,credit_score
27,32117.87,2720.4893,34.0,69.69259,6.0,6.0,6.0,4.0,15.0,18.0,19.38,7.0,1052.88,39.74107,55.35965,406.99667,0,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
41,8089.415,889.1179,56.0,41.953003,6.0,10.0,18.0,7.0,29.0,15.0,23.45,7.0,2864.82,25.45228,25.577152,301.38162,0,1,1,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
44,21450.72,1713.56,138.0,31.296902,2.0,5.0,10.0,3.0,6.0,5.0,9.41,1.0,123.12,34.637707,74.84607,355.213,0,0,0,1,0,0,0,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
36,18717.02,1294.7517,69.0,60.64699,8.0,5.0,15.0,5.0,9.0,16.0,10.3,10.0,2103.99,31.583288,39.9055,274.90082,0,1,1,0,0,0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
30,57857.1,4812.425,37.0,85.77312,4.0,8.0,30.0,3.0,27.0,8.0,4.8,8.0,2019.49,40.088554,53.349617,582.11975,1,0,0,0,0,0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
47,35539.56,2953.63,110.0,0.0,3.0,4.0,5.0,0.0,19.0,8.0,3.4,2.0,819.48,29.928217,113.804726,471.5583,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
32,28694.16,2544.18,27.0,123.7044,8.0,9.0,15.0,8.0,44.0,22.0,2.52,10.0,2481.83,33.667076,336.90543,83.80819,0,1,0,1,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
33,99668.76,8510.73,76.0,292.2635,7.0,4.0,20.0,6.0,26.0,20.0,8.1,4.0,108.67,26.83491,210.07805,598.7315,0,1,1,1,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
29,18002.676,1430.2229,114.0,34.032497,6.0,3.0,10.0,3.0,27.0,12.0,0.94,6.0,698.05,31.935604,120.29154,268.69824,0,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
45,122710.12,10368.844,113.0,154.97551,0.0,6.0,3.0,3.0,17.0,12.0,2.74,3.0,1025.92,33.445854,371.1174,760.79144,0,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
25,15279.715,879.6736,85.0,187.39645,3.0,7.0,15.0,4.0,28.0,9.0,3.01,3.0,562.9,31.05713,102.16634,238.70413,0,1,0,0,1,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
37,14599.89,1464.6575,42.0,39.08623,7.0,8.0,21.0,5.0,23.0,16.0,24.64,8.0,2660.55,28.108963,16.581848,340.79767,0,0,1,1,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
21,66528.24,5733.02,98.0,0.0,5.0,5.0,11.0,0.0,17.0,10.0,13.65,2.0,1460.8,35.34067,106.21055,717.09143,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
44,71735.48,6021.9565,86.0,144.54005,8.0,3.0,8.0,3.0,25.0,22.0,15.07,2.0,940.19,34.800594,234.26683,473.38876,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
26,10120.28,645.3567,70.0,21.903856,6.0,5.0,33.0,5.0,20.0,20.0,9.97,12.0,1616.5,34.643482,19.187256,283.44455,1,1,1,1,0,0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
45,33929.89,2649.4907,101.0,89.77963,3.0,5.0,17.0,4.0,22.0,10.0,5.4,4.0,1219.04,23.884846,229.06712,236.10233,0,0,0,1,1,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
28,51950.28,4218.19,74.0,235.13531,7.0,8.0,21.0,7.0,27.0,9.0,11.71,9.0,1723.13,37.74736,295.15005,181.53363,1,1,1,0,1,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
44,80377.68,6807.14,40.0,186.66222,10.0,7.0,28.0,5.0,30.0,16.0,2.84,12.0,1385.97,36.878807,116.63431,573.08215,1,1,0,1,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
36,35648.94,2742.745,86.0,53.92626,7.0,3.0,7.0,2.0,15.0,13.0,9.34,3.0,1053.3,26.186827,111.891914,398.45633,0,0,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
21,18063.71,1404.3092,75.0,43.343178,4.0,3.0,15.0,5.0,12.0,19.0,9.89,5.0,1184.37,28.070353,42.96254,334.1252,0,1,0,1,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
36,22410.53,2071.5442,121.0,31.839415,7.0,5.0,14.0,2.0,7.0,17.0,13.51,5.0,33.85,25.237566,68.14489,357.1701,0,0,0,0,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
21,42165.91,3658.826,126.0,0.0,4.0,3.0,7.0,0.0,2.0,12.0,7.73,6.0,981.66,27.014418,334.03714,321.84543,0,0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
46,21229.73,1709.1442,110.0,28.88093,5.0,4.0,10.0,2.0,10.0,3.0,10.78,3.0,659.72,26.952023,155.36304,276.67044,1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17,66289.36,5433.1133,67.0,61.325214,4.0,5.0,15.0,2.0,14.0,17.0,7.27,11.0,713.33,26.79169,213.46994,518.5162,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
31,15330.305,1135.5254,77.0,46.388947,4.0,5.0,5.0,4.0,15.0,19.0,9.03,7.0,672.49,25.389565,118.63219,238.53142,1,1,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
41,10412.225,761.6854,120.0,18.836914,8.0,7.0,10.0,3.0,15.0,13.0,10.13,7.0,4.5,38.08739,0.0,288.91306,0,0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
45,22182.95,1937.5792,25.0,62.257042,7.0,5.0,13.0,4.0,11.0,14.0,10.18,5.0,1170.58,35.206776,71.47892,310.02194,1,0,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
24,32737.58,2729.1316,127.0,78.59702,0.0,5.0,6.0,3.0,10.0,13.0,3.43,2.0,568.77,39.10736,35.645283,408.67087,0,0,0,0,0,0,1,1,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
36,63195.21,5318.2676,133.0,0.0,4.0,7.0,6.0,0.0,29.0,13.0,7.6,4.0,1113.92,33.16342,358.6712,453.15555,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
21,26454.21,2200.5176,68.0,86.98733,7.0,4.0,8.0,4.0,14.0,11.0,16.66,6.0,32.11,26.93001,180.0072,243.0572,1,1,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
35,14526.58,1318.5483,70.0,83.96047,5.0,7.0,31.0,7.0,11.0,19.0,12.1,7.0,2447.81,29.1562,143.03021,194.86415,0,1,1,1,0,0,0,1,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
23,78426.52,6383.5435,66.0,0.0,8.0,4.0,9.0,0.0,17.0,12.0,3.66,4.0,1221.49,38.10485,129.47787,491.4283,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
40,14717.28,1069.44,88.0,31.08372,5.0,2.0,11.0,3.0,9.0,9.0,5.89,3.0,148.52,37.82864,78.74374,287.11655,0,0,0,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
40,66193.98,5463.165,89.0,0.0,7.0,7.0,11.0,0.0,12.0,19.0,11.41,5.0,1166.37,37.337337,208.1496,588.1669,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
43,20851.59,1701.6324,72.0,9.299162,4.0,6.0,18.0,1.0,24.0,14.0,14.46,5.0,1195.06,36.515636,21.983858,378.88022,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
36,34204.39,2792.3657,108.0,108.58216,8.0,4.0,19.0,4.0,25.0,13.0,15.31,0.0,1131.43,32.87011,64.32108,346.33334,0,0,1,0,0,0,1,1,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
53,72363.72,6124.31,87.0,137.67296,5.0,3.0,8.0,3.0,0.0,0.0,6.85,7.0,364.45,29.075552,135.58304,589.175,0,1,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
22,78839.48,6358.9565,138.0,39.35327,7.0,4.0,6.0,1.0,29.0,15.0,4.21,5.0,1041.42,37.349354,305.33374,561.2087,0,0,0,0,1,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
31,31993.78,2942.1484,73.0,45.141296,6.0,6.0,7.0,2.0,8.0,16.0,6.28,1.0,818.22,36.012794,97.5882,421.48532,0,0,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
30,32426.78,2999.2317,92.0,32.366283,6.0,5.0,2.0,2.0,28.0,15.0,3.41,1.0,1080.61,31.754734,314.04013,243.51674,0,0,1,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
25,40341.16,3602.7634,87.0,113.0211,2.0,5.0,1.0,4.0,7.0,11.0,8.33,2.0,1183.73,37.469112,242.88441,294.37082,1,0,1,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
52,35659.07,3074.589,130.0,0.0,2.0,4.0,1.0,0.0,2.0,7.0,11.84,2.0,665.28,28.477253,396.50626,200.95265,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
28,64650.48,5651.54,23.0,234.00664,8.0,7.0,31.0,5.0,42.0,24.0,4.26,11.0,2994.91,29.363192,334.48566,276.6617,1,0,1,1,1,0,0,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
35,38027.68,3214.9734,110.0,99.32828,5.0,6.0,10.0,4.0,10.0,8.0,15.04,8.0,286.94,28.296911,105.72684,366.4422,1,0,1,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
33,74005.12,5941.0933,58.0,190.91109,6.0,8.0,19.0,6.0,19.0,17.0,12.69,7.0,2170.45,35.005333,215.58206,477.61618,0,1,1,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
39,7762.595,712.88293,48.0,10.552438,3.0,9.0,17.0,2.0,12.0,14.0,9.27,10.0,2407.95,32.938065,65.633415,285.10245,0,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18,59502.28,4939.5234,106.0,188.69432,2.0,4.0,1.0,4.0,9.0,1.0,6.21,4.0,395.15,30.96359,56.860672,488.39734,1,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
23,71096.02,6140.6685,101.0,31.192333,6.0,3.0,18.0,1.0,30.0,8.0,3.26,5.0,1494.93,35.1531,317.07837,545.79614,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
32,22219.57,1687.6309,28.0,35.33648,7.0,5.0,8.0,3.0,8.0,18.0,13.23,13.0,502.78,30.674662,198.14493,225.28168,0,1,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
20,68369.88,5691.49,64.0,100.39045,4.0,5.0,11.0,2.0,13.0,22.0,9.66,2.0,40.13,42.136757,106.19305,602.5655,1,0,0,0,0,0,0,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
32,46162.62,3548.885,66.0,65.95682,10.0,5.0,16.0,2.0,45.0,19.0,2.45,6.0,1788.63,35.093605,51.315113,487.61658,0,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
49,41617.68,3350.14,120.0,94.46144,2.0,5.0,2.0,4.0,3.0,11.0,2.49,1.0,201.05,27.439497,103.72696,386.8256,1,0,1,0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
26,62316.63,4895.0527,107.0,82.73318,8.0,4.0,7.0,2.0,12.0,11.0,6.94,1.0,417.27,28.732895,441.34384,235.42824,0,0,1,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
